iter	Passed	Remaining
526	2016	1809
527	2020	1805
528	2022	1800
529	2025	1795
530	2027	1790
531	2030	1785
532	2032	1781
533	2036	1777
534	2039	1772
535	2041	1767
536	2044	1762
537	2047	1757
538	2049	1753
539	2053	1749
540	2055	1744
541	2058	1739
542	2061	1734
543	2063	1729
544	2067	1725
545	2069	1721
546	2072	1716
547	2075	1711
548	2077	1706
549	2080	1701
550	2083	1697
551	2086	1693
552	2088	1688
553	2091	1683
554	2094	1679
555	2098	1675
556	2101	1671
557	2104	1667
558	2107	1662
559	2109	1657
560	2112	1653
561	2116	1649
562	2119	1645
563	2122	1640
564	2124	1635
565	2127	1631
566	2130	1626
567	2132	1622
568	2135	1617
569	2137	1612
570	2140	1608
571	2143	1603
572	2146	1599
573	2149	1595
574	2151	1590
575	2154	1585
576	2156	1581
577	2159	1576
578	2163	1573
579	2165	1568
580	2168	1563
581	2170	1559
582	2173	1554
583	2175	1549
584	2179	1546
585	2182	1541
586	2185	1537
587	2187	1532
588	2190	1528
589	2192	1523
590	2195	1519
591	2198	1515
592	2201	1511
593	2204	1506
594	2207	1502
595	2210	1498
596	2213	1494
597	2215	1489
598	2218	1485
599	2220	1480
600	2223	1476
601	2226	1472
602	2229	1468
603	2232	1463
604	2235	1459
605	2237	1454
606	2240	1450
607	2244	1446
608	2246	1442
609	2249	1438
610	2251	1433
611	2254	1429
612	2257	1425
613	2260	1420
614	2262	1416
615	2265	1411
616	2267	1407
617	2270	1403
618	2273	1399
619	2276	1394
620	2278	1390
621	2280	1386
622	2283	1381
623	2285	1377
624	2288	1373
625	2292	1369
626	2294	1365
627	2297	1361
628	2300	1356
629	2303	1352
630	2308	1350
631	2311	1345
632	2314	1341
633	2316	1337
634	2319	1333
635	2322	1329
636	2325	1324
637	2327	1320
638	2330	1316
639	2333	1312
640	2336	1308
641	2339	1304
642	2342	1300
643	2344	1296
644	2347	1291
645	2350	1287
646	2354	1284
647	2357	1280
648	2360	1276
649	2362	1272
650	2365	1268
651	2368	1264
652	2371	1260
653	2373	1255
654	2376	1251
655	2379	1247
656	2381	1243
657	2385	1239
658	2387	1235
659	2390	1231
660	2392	1227
661	2394	1222
662	2397	1218
663	2400	1214
664	2403	1210
665	2406	1206
666	2409	1202
667	2411	1198
668	2414	1194
669	2418	1191
670	2420	1187
671	2423	1182
672	2426	1178
673	2428	1174
674	2432	1171
675	2435	1167
676	2437	1163
677	2440	1159
678	2442	1154
679	2445	1150
680	2448	1147
681	2451	1143
682	2454	1139
683	2456	1135
684	2459	1130
685	2461	1126
686	2465	1123
687	2467	1119
688	2470	1114
689	2472	1110
690	2475	1106
691	2477	1102
692	2481	1099
693	2483	1095
694	2486	1091
695	2489	1087
696	2492	1083
697	2495	1079
698	2498	1076
699	2501	1072
700	2504	1068
701	2506	1064
702	2509	1060
703	2512	1056
704	2515	1052
705	2517	1048
706	2520	1044
707	2522	1040
708	2525	1036
709	2528	1032
710	2531	1028
711	2533	1024
712	2536	1020
713	2538	1016
714	2540	1012
715	2544	1009
716	2547	1005
717	2550	1001
718	2552	997
719	2554	993
720	2557	989
721	2561	986
722	2563	982
723	2566	978
724	2568	974
725	2571	970
726	2574	966
727	2577	962
728	2579	959
729	2582	955
730	2584	951
731	2587	947
732	2590	943
733	2593	939
734	2596	935
735	2598	932
736	2601	928
737	2603	924
738	2607	920
739	2610	917
740	2613	913
741	2615	909
742	2618	905
743	2621	901
744	2624	898
745	2627	894
746	2629	890
747	2632	886
748	2634	882
749	2637	879
750	2640	875
751	2643	871
752	2645	867
753	2648	863
754	2650	860
755	2653	856
756	2656	852
757	2659	849
758	2661	845
759	2664	841
760	2667	837
761	2671	834
762	2673	830
763	2676	826
764	2678	822
765	2681	819
766	2685	815
767	2688	812
768	2691	808
769	2693	804
770	2696	800
771	2699	797
772	2702	793
773	2705	789
774	2708	786
775	2710	782
776	2713	778
777	2716	775
778	2719	771
779	2721	767
780	2724	763
781	2726	760
782	2729	756
783	2733	752
784	2736	749
785	2738	745
786	2740	741
787	2743	738
788	2746	734
789	2750	731
790	2752	727
791	2755	723
792	2757	719
793	2760	716
794	2762	712
795	2765	708
796	2768	705
797	2770	701
798	2773	697
799	2775	693
800	2778	690
801	2782	686
802	2784	683
803	2787	679
804	2790	675
805	2793	672
806	2796	668
807	2799	665
808	2802	661
809	2804	657
810	2807	654
811	2809	650
812	2813	647
813	2816	643
814	2819	640
815	2822	636
816	2824	632
817	2827	629
818	2830	625
819	2833	621
820	2836	618
821	2838	614
822	2841	611
823	2844	607
824	2847	603
825	2849	600
826	2852	596
827	2855	593
828	2857	589
829	2861	586
830	2864	582
831	2866	578
832	2869	575
833	2871	571
834	2874	567
835	2878	564
836	2881	561
837	2883	557
838	2886	553
839	2888	550
840	2892	546
841	2894	543
842	2897	539
843	2900	536
844	2902	532
845	2905	528
846	2908	525
847	2911	521
848	2914	518
849	2917	514
850	2919	511
851	2922	507
852	2926	504
853	2928	500
854	2931	497
855	2934	493
856	2936	490
857	2940	486
858	2943	483
859	2946	479
860	2949	476
861	2951	472
862	2954	469
863	2957	465
864	2960	462
865	2963	458
866	2966	455
867	2968	451
868	2972	448
869	2975	444
870	2978	441
871	2982	437
872	2984	434
873	2989	430
874	2992	427
875	2996	424
876	2999	420
877	3003	417
878	3008	414
879	3011	410
880	3035	410
881	3039	406
882	3042	403
883	3046	399
884	3049	396
885	3063	394
886	3068	390
887	3089	389
888	3097	386
889	3104	383
890	3109	380
891	3115	377
892	3119	373
893	3122	370
894	3126	366
895	3129	363
896	3134	359
897	3137	356
898	3141	352
899	3143	349
900	3147	345
901	3151	342
902	3154	338
903	3157	335
904	3160	331
905	3164	328
906	3167	324
907	3170	321
908	3182	318
909	3185	315
910	3189	311
911	3192	308
912	3197	304
913	3201	301
914	3205	297
915	3208	294
916	3212	290
917	3215	287
918	3218	283
919	3222	280
920	3225	276
921	3228	273
922	3231	269
923	3235	266
924	3238	262
925	3243	259
926	3246	255
927	3249	252
928	3252	248
929	3257	245
930	3261	241
931	3264	238
932	3268	234
933	3271	231
934	3275	227
935	3278	224
936	3281	220
937	3307	218
938	3314	215
939	3323	212
940	3327	208
941	3331	205
942	3336	201
943	3340	198
944	3344	194
945	3347	191
946	3350	187
947	3354	184
948	3357	180
949	3360	176
950	3364	173
951	3367	169
952	3371	166
953	3375	162
954	3378	159
955	3381	155
956	3384	152
957	3388	148
958	3390	144
959	3393	141
960	3396	137
961	3400	134
962	3404	130
963	3407	127
964	3409	123
965	3412	120
966	3415	116
967	3419	113
968	3422	109
969	3424	105
970	3427	102
971	3429	98
972	3436	95
973	3439	91
974	3442	88
975	3444	84
976	3449	81
977	3453	77
978	3456	74
979	3459	70
980	3461	67
981	3465	63
982	3468	59
983	3471	56
984	3473	52
985	3476	49
986	3480	45
987	3483	42
988	3485	38
989	3488	35
990	3490	31
991	3493	28
992	3498	24
993	3500	21
994	3503	17
995	3506	14
996	3508	10
997	3534	7
998	3541	3
999	3547	0
